Field1,Field2,Lag,P-Value
Data Driven Energy avg decision_P1,Data Driven Slow Monople avg delay_P1,1,0.0
Data Driven Energy avg decision_P1,Data Driven Slow Monople avg length_P1,1,7.933299161728357e-133
Data Driven Energy avg decision_P1,Data Driven Slow Monople rate_P1,1,8.640906033838809e-56
Data Driven Energy avg decision_P1,Data Driven Upmu avg decision_P1,1,4.670734489427042e-62
Data Driven Energy avg decision_P1,Data Driven Upmu avg delay_P1,1,2.720500552041674e-226
Data Driven Energy avg decision_P1,Data Driven Upmu avg length_P1,1,5.503367475995547e-69
Data Driven Energy avg decision_P1,Data Driven Upmu rate_P1,1,2.692676477560468e-95
Data Driven Energy avg decision_P1,LIGO Beat Fast rate_P1,1,5.3535492641820965e-28
Data Driven Energy avg decision_P1,Overall Trigger Rate_P1,1,1.5461595467333253e-32
Data Driven Energy avg decision_P1,Periodic Calibration Pulser rate_P1,1,4.658769427967474e-70
Data Driven Energy avg decision_P1,SN datablock process rate_P1,1,5.2707989288606255e-18
Data Driven Energy avg decision_P1,SN message delay_P1,1,1.28708298315805e-35
Data Driven Energy avg decision_P1,SN message rate_P1,1,1.0317263884986248e-61
Data Driven Energy avg decision_P1,SN processing delay_P1,1,3.596419249380855e-49
Data Driven Energy avg decision_P1,SN triggering delay_P1,1,3.228843786856794e-48
Data Driven Energy avg decision_P1,SNEWS Beat Fast rate_P1,1,2.874737343576357e-35
Data Driven Energy avg decision_P1,SNEWS Trigger Avg Delay_P1,1,0.0281995197844238
Data Driven Energy avg decision_P1,SNEWS Trigger Min Delay_P1,2,2.0842953688753024e-12
Data Driven Energy avg decision_P1,Spill Trigger Avg Delay_P1,1,5.1441187564543e-07
Data Driven Energy avg decision_P1,Spill Trigger Max Delay_P1,1,0.00016698951688386937
Data Driven Energy avg decision_P1,Spill Trigger Min Delay_P1,1,0.00012078169935798815
Data Driven Energy avg decision_P1,Spill Trigger Std Delay_P1,1,0.026945904242514408
Data Driven Energy avg decision_P1,Data Driven Sun avg length_P1,2,0.004214067837615382
Data Driven Energy avg decision_P1,Data Driven Sun rate_P1,1,0.04383881358953998
Data Driven Energy avg delay_P1,Data Driven Energy avg length_P1,1,0.024459296035201653
Data Driven Energy avg delay_P1,Data Driven Energy rate_P1,1,1.140930101568253e-73
Data Driven Energy avg delay_P1,Data Driven Fast Monopole avg decision_P1,1,1.525844387075758e-20
Data Driven Energy avg delay_P1,Data Driven Fast Monopole avg delay_P1,1,5.2898117246279716e-21
Data Driven Energy avg delay_P1,Data Driven Fast Monopole avg length_P1,1,1.352448862768495e-47
Data Driven Energy avg delay_P1,Data Driven Fast Monopole rate_P1,1,2.048096955916668e-51
Data Driven Energy avg delay_P1,Data Driven Horizontal Muon avg decision_P1,1,1.002949749183692e-275
Data Driven Energy avg delay_P1,Data Driven Horizontal Muon avg delay_P1,1,2.565693887936495e-27
Data Driven Energy avg delay_P1,Data Driven Horizontal Muon avg length_P1,1,3.82836809153464e-74
Data Driven Energy avg delay_P1,Data Driven Horizontal Muon rate_P1,1,2.3367458075638864e-67
Data Driven Energy avg delay_P1,Data Driven Neutron-Antineutron avg decision_P1,1,5.168302500984339e-61
Data Driven Energy avg delay_P1,Data Driven Neutron-Antineutron avg delay_P1,1,2.2591702742340537e-27
Data Driven Energy avg delay_P1,Data Driven Neutron-Antineutron avg length_P1,1,9.641928964823401e-37
Data Driven Energy avg delay_P1,Data Driven Neutron-Antineutron rate_P1,1,1.6413045382837278e-40
Data Driven Energy avg delay_P1,Data Driven Numu avg length_P1,1,0.02553303746053954
Data Driven Energy avg delay_P1,Data Driven Slow Monople avg decision_P1,1,1.518883375075784e-49
Data Driven Energy avg delay_P1,Data Driven Slow Monople avg delay_P1,1,0.0
Data Driven Energy avg delay_P1,Data Driven Slow Monople avg length_P1,1,2.175511411167255e-135
Data Driven Energy avg delay_P1,Data Driven Slow Monople rate_P1,1,3.1041755901162862e-58
Data Driven Energy avg delay_P1,Data Driven Upmu avg decision_P1,1,8.907233286674943e-62
Data Driven Energy avg delay_P1,Data Driven Upmu avg delay_P1,1,4.82170221091749e-229
Data Driven Energy avg delay_P1,Data Driven Upmu avg length_P1,1,7.979953205823347e-70
Data Driven Energy avg delay_P1,Data Driven Upmu rate_P1,1,4.075252587385663e-99
Data Driven Energy avg delay_P1,LIGO Beat Fast rate_P1,1,3.8673510253996214e-28
Data Driven Energy avg delay_P1,Overall Trigger Rate_P1,1,1.2479032115522575e-32
Data Driven Energy avg delay_P1,Periodic Calibration Pulser rate_P1,1,6.8239545960268315e-71
Data Driven Energy avg delay_P1,SN datablock process rate_P1,1,2.794789233249014e-18
Data Driven Energy avg delay_P1,SN message delay_P1,1,4.6031415814546987e-35
Data Driven Energy avg delay_P1,SN message rate_P1,1,3.7933691007191223e-63
Data Driven Energy avg delay_P1,SN processing delay_P1,1,1.0902247684430706e-48
Data Driven Energy avg delay_P1,SN triggering delay_P1,1,7.717331391834475e-48
Data Driven Energy avg delay_P1,SNEWS Beat Fast rate_P1,1,1.4273723360515345e-35
Data Driven Energy avg delay_P1,SNEWS Trigger Avg Delay_P1,1,0.027546316445460968
Data Driven Energy avg delay_P1,SNEWS Trigger Min Delay_P1,2,1.4717215985873104e-12
Data Driven Energy avg delay_P1,Spill Trigger Avg Delay_P1,1,3.905183916957813e-07
Data Driven Energy avg delay_P1,Spill Trigger Max Delay_P1,1,0.00017291861427508855
Data Driven Energy avg delay_P1,Spill Trigger Min Delay_P1,1,9.6285185269605e-05
Data Driven Energy avg delay_P1,Spill Trigger Std Delay_P1,1,0.027678957506514487
Data Driven Energy avg delay_P1,Data Driven Sun avg length_P1,2,0.0035528496475349214
Data Driven Energy avg delay_P1,Data Driven Sun rate_P1,1,0.04019841643244832
Data Driven Energy avg length_P1,Data Driven Energy rate_P1,1,1.0294546807050314e-59
Data Driven Energy avg length_P1,Data Driven Fast Monopole avg decision_P1,1,3.500924405623864e-61
Data Driven Energy avg length_P1,Data Driven Fast Monopole avg delay_P1,1,1.6087377834118656e-61
Data Driven Energy avg length_P1,Data Driven Fast Monopole avg length_P1,1,6.849458182629789e-70
Data Driven Energy avg length_P1,Data Driven Fast Monopole rate_P1,1,1.0659059658940489e-63
Data Driven Energy avg length_P1,Data Driven Horizontal Muon avg decision_P1,1,6.256996201949233e-57
Data Driven Energy avg length_P1,Data Driven Horizontal Muon avg delay_P1,1,3.667351446366105e-58
Data Driven Energy avg length_P1,Data Driven Horizontal Muon avg length_P1,1,1.2443244289744303e-79
Data Driven Energy avg length_P1,Data Driven Horizontal Muon rate_P1,1,3.704142344481217e-66
Data Driven Energy avg length_P1,Data Driven Neutron-Antineutron avg decision_P1,1,1.2457050888227214e-65
Data Driven Energy avg length_P1,Data Driven Neutron-Antineutron avg delay_P1,1,3.8802758330576326e-59
Data Driven Energy avg length_P1,Data Driven Neutron-Antineutron avg length_P1,1,3.6696248111818364e-64
Data Driven Energy avg length_P1,Data Driven Neutron-Antineutron rate_P1,1,3.820068076639176e-65
Data Driven Energy avg length_P1,Data Driven Numu avg length_P1,1,0.015244962311748402
Data Driven Energy avg length_P1,Data Driven Numu rate_P1,3,0.024139999636333155
Data Driven Energy avg length_P1,Data Driven Slow Monople avg decision_P1,1,9.487359156321079e-60
Data Driven Energy avg length_P1,Data Driven Slow Monople avg delay_P1,1,4.845869468504609e-50
Data Driven Energy avg length_P1,Data Driven Slow Monople avg length_P1,1,6.727793418248795e-70
Data Driven Energy avg length_P1,Data Driven Slow Monople rate_P1,1,2.805902365702558e-48
Data Driven Energy avg length_P1,Data Driven Upmu avg decision_P1,1,4.096169300598538e-65
Data Driven Energy avg length_P1,Data Driven Upmu avg delay_P1,1,2.26992379969756e-59
Data Driven Energy avg length_P1,Data Driven Upmu avg length_P1,1,4.070498173558291e-78
Data Driven Energy avg length_P1,Data Driven Upmu rate_P1,1,2.4537626654569863e-56
Data Driven Energy avg length_P1,LIGO Beat Fast rate_P1,1,4.96579210983479e-59
Data Driven Energy avg length_P1,Overall Trigger Rate_P1,1,1.812268910545305e-64
Data Driven Energy avg length_P1,Periodic Calibration Pulser rate_P1,1,1.131497165046224e-61
Data Driven Energy avg length_P1,SN datablock process rate_P1,1,4.483922679745533e-40
Data Driven Energy avg length_P1,SN message delay_P1,1,2.6871917390898765e-63
Data Driven Energy avg length_P1,SN message rate_P1,1,9.73075277894626e-78
Data Driven Energy avg length_P1,SN processing delay_P1,1,1.894045253818726e-63
Data Driven Energy avg length_P1,SN triggering delay_P1,1,1.869510697900795e-62
Data Driven Energy avg length_P1,SNEWS Beat Fast rate_P1,1,7.176313462485953e-60
Data Driven Energy avg length_P1,SNEWS Trigger Avg Delay_P1,3,0.025188885624139467
Data Driven Energy avg length_P1,SNEWS Trigger Max Delay_P1,2,0.006491991487015954
Data Driven Energy avg length_P1,SNEWS Trigger Std Delay_P1,3,0.032386601136859997
Data Driven Energy avg length_P1,Spill Trigger Avg Delay_P1,1,3.567702029747812e-33
Data Driven Energy avg length_P1,Spill Trigger Max Delay_P1,1,1.32997723520623e-26
Data Driven Energy avg length_P1,Spill Trigger Min Delay_P1,1,2.417389943701281e-12
Data Driven Energy avg length_P1,Spill Trigger Std Delay_P1,1,3.285461015348684e-10
Data Driven Energy rate_P1,Data Driven Fast Monopole avg decision_P1,1,1.276487323718329e-171
Data Driven Energy rate_P1,Data Driven Fast Monopole avg delay_P1,1,2.4015125761017217e-173
Data Driven Energy rate_P1,Data Driven Fast Monopole avg length_P1,1,2.7219521224785027e-108
Data Driven Energy rate_P1,Data Driven Fast Monopole rate_P1,1,5.080863370129875e-121
Data Driven Energy rate_P1,Data Driven Horizontal Muon avg decision_P1,1,5.241967627709042e-224
Data Driven Energy rate_P1,Data Driven Horizontal Muon avg delay_P1,1,1.1215161396658905e-197
Data Driven Energy rate_P1,Data Driven Horizontal Muon avg length_P1,1,3.2615370194566103e-211
Data Driven Energy rate_P1,Data Driven Horizontal Muon rate_P1,1,1.150685804889862e-166
Data Driven Energy rate_P1,Data Driven Neutron-Antineutron avg decision_P1,1,6.795975593916928e-102
Data Driven Energy rate_P1,Data Driven Neutron-Antineutron avg delay_P1,1,1.9262146907558456e-196
Data Driven Energy rate_P1,Data Driven Neutron-Antineutron avg length_P1,1,5.702550293207244e-79
Data Driven Energy rate_P1,Data Driven Neutron-Antineutron rate_P1,1,2.9093384750730074e-143
Data Driven Energy rate_P1,Data Driven Slow Monople avg decision_P1,1,4.1675417308041217e-88
Data Driven Energy rate_P1,Data Driven Slow Monople avg delay_P1,1,3.504003317339928e-175
Data Driven Energy rate_P1,Data Driven Slow Monople avg length_P1,1,2.2747563578565547e-283
Data Driven Energy rate_P1,Data Driven Slow Monople rate_P1,1,5.450208627057135e-142
Data Driven Energy rate_P1,Data Driven Upmu avg decision_P1,1,2.23607466447506e-109
Data Driven Energy rate_P1,Data Driven Upmu avg delay_P1,1,7.199817086657281e-238
Data Driven Energy rate_P1,Data Driven Upmu avg length_P1,1,9.244227298066053e-188
Data Driven Energy rate_P1,Data Driven Upmu rate_P1,1,4.0795377872221875e-191
Data Driven Energy rate_P1,LIGO Beat Fast rate_P1,1,9.909468721183753e-63
Data Driven Energy rate_P1,NuMI Beam Spill Trigger rate_P1,2,0.04114861209105197
Data Driven Energy rate_P1,Overall Trigger Rate_P1,1,1.1403491714042872e-77
Data Driven Energy rate_P1,Periodic Calibration Pulser rate_P1,1,1.3319600284645354e-164
Data Driven Energy rate_P1,SN datablock process rate_P1,1,1.19748109862119e-39
Data Driven Energy rate_P1,SN message delay_P1,1,1.7312341457172767e-104
Data Driven Energy rate_P1,SN message rate_P1,1,8.52356654120301e-193
Data Driven Energy rate_P1,SN processing delay_P1,1,2.3974823912316327e-107
Data Driven Energy rate_P1,SN triggering delay_P1,1,2.2368326382506522e-80
Data Driven Energy rate_P1,SNEWS Beat Fast rate_P1,1,9.10750994134914e-84
Data Driven Energy rate_P1,SNEWS Trigger Min Delay_P1,1,1.2275271818715833e-08
Data Driven Energy rate_P1,Spill Trigger Avg Delay_P1,1,5.710505007509407e-22
Data Driven Energy rate_P1,Spill Trigger Max Delay_P1,1,1.594219602426195e-13
Data Driven Energy rate_P1,Spill Trigger Min Delay_P1,1,6.39006645953808e-09
Data Driven Energy rate_P1,Spill Trigger Std Delay_P1,4,0.007572228920034262
Data Driven Energy rate_P1,Data Driven Sun avg length_P1,2,0.004842265174066127
Data Driven Fast Monopole Neural Network avg decision_P1,Data Driven Fast Monopole avg decision_P1,3,0.04742182317445166
Data Driven Fast Monopole Neural Network avg decision_P1,Data Driven Fast Monopole avg delay_P1,3,0.04900911607796018
Data Driven Fast Monopole Neural Network avg decision_P1,Spill Trigger Min Delay_P1,4,0.011935418373166124
Data Driven Fast Monopole Neural Network avg decision_P1,Data Driven Sun avg length_P1,2,9.65505178621691e-08
Data Driven Fast Monopole Neural Network avg decision_P1,Data Driven Sun rate_P1,1,0.02646408074246484
Data Driven Fast Monopole Neural Network avg delay_P1,Data Driven Fast Monopole avg decision_P1,3,0.04702852800643539
Data Driven Fast Monopole Neural Network avg delay_P1,Data Driven Fast Monopole avg delay_P1,3,0.04860318441827091
Data Driven Fast Monopole Neural Network avg delay_P1,Spill Trigger Min Delay_P1,4,0.011881973111425272
Data Driven Fast Monopole Neural Network avg delay_P1,Data Driven Sun avg length_P1,2,9.68920333276219e-08
Data Driven Fast Monopole Neural Network avg delay_P1,Data Driven Sun rate_P1,1,0.02648339373043764
Data Driven Fast Monopole Neural Network avg length_P1,Data Driven Neutron-Antineutron avg length_P1,2,0.045453132556356156
Data Driven Fast Monopole Neural Network avg length_P1,NuMI Beam Spill Trigger rate_P1,2,0.026320041957662906
Data Driven Fast Monopole Neural Network avg length_P1,SN message delay_P1,2,0.0024602844702724135
Data Driven Fast Monopole Neural Network avg length_P1,Data Driven Sun avg length_P1,2,0.012113412275545155
Data Driven Fast Monopole Neural Network rate_P1,Data Driven Neutron-Antineutron avg length_P1,3,0.023747256206215817
Data Driven Fast Monopole Neural Network rate_P1,NuMI Beam Spill Trigger rate_P1,1,0.016856127371251715
Data Driven Fast Monopole Neural Network rate_P1,SN message rate_P1,4,0.016788089671741613
Data Driven Fast Monopole Neural Network rate_P1,SNEWS Trigger Std Delay_P1,3,0.04359974395703408
Data Driven Fast Monopole Neural Network rate_P1,Data Driven Sun avg length_P1,2,0.015474898666570511
Data Driven Fast Monopole avg decision_P1,Data Driven Fast Monopole avg delay_P1,2,0.004735073143510678
Data Driven Fast Monopole avg decision_P1,Data Driven Fast Monopole avg length_P1,1,9.303525592637916e-62
Data Driven Fast Monopole avg decision_P1,Data Driven Fast Monopole rate_P1,1,5.929128418057541e-71
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon avg decision_P1,1,0.0
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon avg delay_P1,1,5.887016234511319e-196
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon avg length_P1,1,9.419002563918594e-102
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon rate_P1,1,2.0230047799660175e-100
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron avg decision_P1,1,1.2296010510617616e-86
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,1,2.3444821080344584e-213
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,1,2.3988571798074786e-51
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron rate_P1,1,3.142120255611859e-59
Data Driven Fast Monopole avg decision_P1,Data Driven Numu avg decision_P1,2,0.04310463357040772
Data Driven Fast Monopole avg decision_P1,Data Driven Numu avg delay_P1,2,0.04307045909630486
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople avg decision_P1,1,5.196169323589108e-70
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople avg delay_P1,1,0.0
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople avg length_P1,1,8.825481487975205e-254
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople rate_P1,1,2.5333700363294423e-78
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu avg decision_P1,1,2.9823826693434446e-86
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu avg delay_P1,1,0.0
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu avg length_P1,1,7.878881484714838e-97
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu rate_P1,1,4.190948997261051e-176
Data Driven Fast Monopole avg decision_P1,LIGO Beat Fast rate_P1,1,2.56236721608333e-36
Data Driven Fast Monopole avg decision_P1,Overall Trigger Rate_P1,1,6.114551048470575e-53
Data Driven Fast Monopole avg decision_P1,Periodic Calibration Pulser rate_P1,1,5.7523237840875865e-129
Data Driven Fast Monopole avg decision_P1,SN datablock process rate_P1,1,5.561727871492926e-23
Data Driven Fast Monopole avg decision_P1,SN message delay_P1,1,4.1796046634481004e-61
Data Driven Fast Monopole avg decision_P1,SN message rate_P1,1,2.7725467951072484e-84
Data Driven Fast Monopole avg decision_P1,SN processing delay_P1,1,3.1889803979161085e-75
Data Driven Fast Monopole avg decision_P1,SN triggering delay_P1,1,1.0669453882525035e-57
Data Driven Fast Monopole avg decision_P1,SNEWS Beat Fast rate_P1,1,2.0729423657879491e-47
Data Driven Fast Monopole avg decision_P1,SNEWS Trigger Avg Delay_P1,1,0.0023911297976178993
Data Driven Fast Monopole avg decision_P1,SNEWS Trigger Min Delay_P1,1,7.606572191955446e-12
Data Driven Fast Monopole avg decision_P1,Spill Trigger Avg Delay_P1,1,9.600886577639118e-12
Data Driven Fast Monopole avg decision_P1,Spill Trigger Max Delay_P1,1,2.1673244935239835e-08
Data Driven Fast Monopole avg decision_P1,Spill Trigger Min Delay_P1,1,4.095749735562077e-07
Data Driven Fast Monopole avg decision_P1,Spill Trigger Std Delay_P1,2,0.021013957091353477
Data Driven Fast Monopole avg decision_P1,Data Driven Sun avg length_P1,2,0.002137430343089937
Data Driven Fast Monopole avg delay_P1,Data Driven Fast Monopole avg length_P1,1,2.9273178166706745e-62
Data Driven Fast Monopole avg delay_P1,Data Driven Fast Monopole rate_P1,1,6.8352886451499274e-71
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon avg decision_P1,1,0.0
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon avg delay_P1,1,8.859377255958243e-198
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon avg length_P1,1,3.4086204680796705e-103
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon rate_P1,1,1.2039961233992777e-100
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron avg decision_P1,1,5.39538153329239e-86
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron avg delay_P1,1,3.917570100365598e-216
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron avg length_P1,1,6.3391540753354255e-52
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron rate_P1,1,3.5992169572414224e-60
Data Driven Fast Monopole avg delay_P1,Data Driven Numu avg decision_P1,2,0.047102780365278735
Data Driven Fast Monopole avg delay_P1,Data Driven Numu avg delay_P1,2,0.04706672058973176
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople avg decision_P1,1,1.4503106655195047e-69
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople avg delay_P1,1,0.0
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople avg length_P1,1,2.7687835113580465e-259
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople rate_P1,1,1.612124972923293e-80
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu avg decision_P1,1,2.4229835527514434e-85
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu avg delay_P1,1,0.0
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu avg length_P1,1,3.821557086640811e-98
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu rate_P1,1,1.3451014944014001e-176
Data Driven Fast Monopole avg delay_P1,LIGO Beat Fast rate_P1,1,1.5654501419690117e-36
Data Driven Fast Monopole avg delay_P1,Overall Trigger Rate_P1,1,4.289017924959308e-53
Data Driven Fast Monopole avg delay_P1,Periodic Calibration Pulser rate_P1,1,1.231764218876152e-130
Data Driven Fast Monopole avg delay_P1,SN datablock process rate_P1,1,2.6312165236116752e-23
Data Driven Fast Monopole avg delay_P1,SN message delay_P1,1,1.5214737743049333e-60
Data Driven Fast Monopole avg delay_P1,SN message rate_P1,1,5.674681317872744e-86
Data Driven Fast Monopole avg delay_P1,SN processing delay_P1,1,2.588908978114342e-75
Data Driven Fast Monopole avg delay_P1,SN triggering delay_P1,1,2.594883158386292e-57
Data Driven Fast Monopole avg delay_P1,SNEWS Beat Fast rate_P1,1,4.454987693364912e-48
Data Driven Fast Monopole avg delay_P1,SNEWS Trigger Avg Delay_P1,1,0.002309652529599135
Data Driven Fast Monopole avg delay_P1,SNEWS Trigger Min Delay_P1,1,6.930578334742992e-12
Data Driven Fast Monopole avg delay_P1,Spill Trigger Avg Delay_P1,1,5.884729182694499e-12
Data Driven Fast Monopole avg delay_P1,Spill Trigger Max Delay_P1,1,1.7439152496142746e-08
Data Driven Fast Monopole avg delay_P1,Spill Trigger Min Delay_P1,1,3.9313622177084836e-07
Data Driven Fast Monopole avg delay_P1,Spill Trigger Std Delay_P1,2,0.01599029028270476
Data Driven Fast Monopole avg delay_P1,Data Driven Sun avg length_P1,2,0.0021241102342963174
Data Driven Fast Monopole avg length_P1,Data Driven Fast Monopole rate_P1,1,2.745179573413756e-165
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon avg decision_P1,1,2.1440435467462512e-163
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon avg delay_P1,1,5.582032965304459e-169
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon avg length_P1,1,0.0
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon rate_P1,1,3.5635868651943226e-192
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron avg decision_P1,1,6.719358420988322e-213
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron avg delay_P1,1,3.330072158759569e-168
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron avg length_P1,1,7.875910916210455e-109
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron rate_P1,1,9.677848485115334e-214
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople avg decision_P1,1,7.976027065936902e-162
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople avg delay_P1,1,4.789502256651711e-130
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople avg length_P1,1,4.552732447128204e-220
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople rate_P1,1,3.395418631656858e-114
Data Driven Fast Monopole avg length_P1,Data Driven Upmu avg decision_P1,1,1.5663712754970795e-205
Data Driven Fast Monopole avg length_P1,Data Driven Upmu avg delay_P1,1,2.417224791823117e-164
Data Driven Fast Monopole avg length_P1,Data Driven Upmu avg length_P1,1,0.0
Data Driven Fast Monopole avg length_P1,Data Driven Upmu rate_P1,1,2.9022208044590775e-155
Data Driven Fast Monopole avg length_P1,LIGO Beat Fast rate_P1,1,3.6366773876316996e-107
Data Driven Fast Monopole avg length_P1,Overall Trigger Rate_P1,1,3.4535051863047624e-118
Data Driven Fast Monopole avg length_P1,Periodic Calibration Pulser rate_P1,1,1.151603102184836e-158
Data Driven Fast Monopole avg length_P1,SN datablock process rate_P1,1,3.2975814486879443e-43
Data Driven Fast Monopole avg length_P1,SN message delay_P1,1,5.092664278000388e-190
Data Driven Fast Monopole avg length_P1,SN message rate_P1,1,2.895562508e-314
Data Driven Fast Monopole avg length_P1,SN processing delay_P1,1,1.2631916884795893e-134
Data Driven Fast Monopole avg length_P1,SN triggering delay_P1,1,1.3995319492122388e-138
Data Driven Fast Monopole avg length_P1,SNEWS Beat Fast rate_P1,1,8.79044509876876e-179
Data Driven Fast Monopole avg length_P1,Spill Trigger Avg Delay_P1,1,1.1247757331172043e-27
Data Driven Fast Monopole avg length_P1,Spill Trigger Max Delay_P1,1,6.130302995723496e-23
Data Driven Fast Monopole avg length_P1,Spill Trigger Min Delay_P1,1,1.6200308004935002e-15
Data Driven Fast Monopole avg length_P1,Spill Trigger Std Delay_P1,1,3.335014739377609e-10
Data Driven Fast Monopole avg length_P1,Data Driven Sun avg length_P1,2,0.03563383100025446
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon avg decision_P1,1,1.697298290415008e-238
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon avg delay_P1,1,1.848398591265805e-234
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon avg length_P1,1,6.148315036341188e-259
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon rate_P1,1,2.5174302683691257e-212
